Name,UID,Condensate Type,Species Tax Id,Proteins,DNA,RNA,C-mods,Condensatopathy,Confidence Score
"Cpeb1b-Pabpc1b-shh Condensate","324C50AA","biomolecular","7955","3","No","Yes","No","No","5"
"CPEB4 granule","E0732220","biomolecular","8355","1","No","Yes","No","No","5"
"CRY2/SPA1/FIO1 condensate","26C7BC93","biomolecular","3702","3","No","Yes","No","No","5"
"Cytoplasmic bodies","1C4BF022","biomolecular","9606","3","No","No","No","No","4"
"Cytoplasmic protein granule","444FFC0C","biomolecular","7227","2","No","No","No","No","1"
"Cytoplasmic protein granule","CE67A724","biomolecular","559292","3","No","No","No","No","1"
"Cytoplasmic viral factory","0E37FC39","biomolecular","11285","3","No","No","No","No","4"
"cytoplasmic Virion Assembly Compartments (cVACs)","217616E8","infectious","9606","4","Yes","Yes","No","No","4"
"DDR1 condensate","9A00E86C","biomolecular","10090","2","No","No","No","No","2"
"DDX1 body","5B6CCA73","biomolecular","9606","2","No","No","No","No","4"
"Ddx3xb condensates","6EFBB8DD","biomolecular","7955","1","No","Yes","No","No","5"
"Degradosome","DB817387","biomolecular","83333","12","No","Yes","No","No","5"
"Dense fibrillar component","BCA0D336","biomolecular","6239","1","No","No","No","No","5"
"Dense fibrillar component","56BF1CA9","biomolecular","7227","1","No","No","No","No","5"
"Dense Fibrillar Component","08386919","biomolecular","9606","8","Yes","Yes","No","No","4"
"Dense Fibrillar Component","0640DAB7","biomolecular","10090","1","No","Yes","No","No","4"
"D-granule","7BB9AA6C","biomolecular","10090","1","No","No","No","No","4"
"DHX9 Stress Granules","A40D6D0A","biomolecular","9606","12","No","Yes","No","No","4"
"Dishevelled condensate","EEA9CF61","biomolecular","9606","1","No","No","No","No","4"
"DNA damage foci","C555D4ED","biomolecular","559292","1","Yes","No","No","No","1"
"DNA damage foci","A0DCDA94","biomolecular","9606","22","Yes","Yes","Yes","Yes","1"
"Dps condensate","F3B1DD1E","biomolecular","83333","1","Yes","No","No","No","5"
"DVL2 condensates","DA9A581A","biomolecular","9606","1","No","No","No","No","4"
"DYRK3 speckle","8908B6CB","biomolecular","9606","1","No","No","No","No","1"
"EB1F condensate","3CA9DEF4","biomolecular","10090","1","No","No","No","No","4"
"Ede1 condensate","E019EF73","biomolecular","559292","11","No","No","No","No","5"
"eIF5B granules","39517448","biomolecular","9606","1","No","Yes","No","No","4"
"Elastin granule","BB244C6C","biomolecular","9606","1","No","No","No","No","5"
"ELVA","8F289D40","biomolecular","10090","13","No","No","No","No","2"
"EML4-ALK condensates","200B29C3","biomolecular","9606","1","No","No","Yes","No","4"
"Endocytic condensates","18F6A7CA","biomolecular","559292","3","No","No","No","No","5"
"Enhancer cluster","7F36219C","biomolecular","9606","1","Yes","No","No","No","4"
"Enzyme_shell proteins condensates","92BB331A","biomolecular","99287","2","No","No","No","No","3"
"ERES","1EF72FBA","biomolecular","9606","8","No","No","No","No","4"
"ESCRTs","290133E7","biomolecular","559292","1","No","No","No","No","3"
"Euchromatin","F5FE5C72","biomolecular","9606","1","Yes","No","No","No","1"
"Euchromatin","9638259C","biomolecular","9031","1","Yes","No","No","No","3"
"eukaryotic topoisomerase ii","BA0A263B","biomolecular","0","2","Yes","No","No","No","3"
"EWS-FLI1","D3EAE6DE","biomolecular","9606","2","Yes","No","No","Yes","1"
"FATZ-1 condensate","ED61D366","biomolecular","9606","1","No","No","No","No","3"
"Ferritin-NCOA4 condensate","ECAD3DEA","biomolecular","9606","3","No","No","No","No","4"
"focal adhesion (FA) condensate","009021FA","biomolecular","9606","3","No","No","No","No","4"
"Founder granule","D1D776A9","biomolecular","7227","1","No","Yes","No","No","5"
"FRQ condensate","BCF8C0FA","biomolecular","367110","1","No","No","No","No","5"
"FtsZ condensate","E92D4409","biomolecular","83333","1","No","No","No","No","1"
"FtsZ/SlmA body","D447D79E","biomolecular","83333","2","No","No","No","No","1"
"Fus1 condensate","92813D3C","biomolecular","284812","1","No","No","No","No","5"
"FXR1 condensates","0A37FC0B","biomolecular","10090","1","No","Yes","No","No","5"
"FXR-driven SARS-CoV-2 condensate","CD2044AE","infectious","9606","5","No","No","No","No","4"
"Galectin complex","F47B63CC","biomolecular","9606","1","No","No","No","No","5"
"G-body","0F56F502","biomolecular","559292","5","No","Yes","No","No","1"
"GCRV viroplasm","5FC38D49","infectious","7959","13","No","Yes","No","Yes","4"
"Germ granule","E603CCA4","biomolecular","9606","2","Yes","No","No","Yes","3"
"Germ granule","0E1CE0E6","biomolecular","7955","3","No","Yes","No","No","1"
"Germ granule","1DA11FFF","biomolecular","7227","9","No","Yes","No","No","5"
"Golgin condensate","F3208D05","biomolecular","9606","7","No","No","No","No","1"
"Golgi ribbon","AD8D327D","biomolecular","9606","1","No","Yes","No","No","5"
"Granular component","80B4651A","biomolecular","9606","1","No","Yes","No","No","4"
"Granular component","2425F50D","biomolecular","10090","1","No","Yes","No","No","4"
"GW-body","9DBB3093","biomolecular","9606","3","No","Yes","No","No","0"
"Heterochromatin","B57B8AD8","biomolecular","9606","2","Yes","No","Yes","No","2"
"Heterochromatin","1CF1AEDA","biomolecular","7227","1","Yes","No","No","No","1"
"Heterochromatin","DFEC0B67","biomolecular","7244","1","No","No","No","No","1"
"Heterochromatin","443AEDFE","biomolecular","10090","2","Yes","No","No","No","4"
"Heterochromatin","678F8DAA","biomolecular","284812","1","Yes","No","No","No","5"
"Heterochromatin","8F2F7B5C","biomolecular","3702","3","Yes","No","No","No","5"
"Hippo signalosome","B15FE1AF","biomolecular","9606","7","No","No","No","No","4"
"Histone Locus Body","50782855","biomolecular","10090","2","No","No","No","No","1"
"Histone Locus Body","49BCF3D0","biomolecular","7227","4","No","Yes","No","No","1"
"Histone Locus Body","7137E280","biomolecular","7955","1","No","Yes","No","No","5"
"Histone Locus Body","24B72B50","biomolecular","9606","8","Yes","Yes","No","No","1"
"HIV core condensate","C4086E78","infectious","9606","3","No","No","No","Yes","4"
"HSP condensate","26D57712","biomolecular","44689","1","No","No","No","No","4"
"Htt inclusion","518B4F3F","biomolecular","9606","1","No","Yes","No","No","1"
"Htt inclusion","BA10A4D8","biomolecular","559292","2","No","No","No","No","5"
"Hypersomatic shock foci","67785C55","biomolecular","559292","17","No","No","No","No","1"
"IFN-I transcriptional condensate","02F8D883","biomolecular","9606","2","No","No","Yes","No","4"
"IMC (intermitochondrial cement)","225F9C97","biomolecular","9606","1","No","Yes","No","No","4"
"IMP1 RNP granule","F85A2E29","biomolecular","9606","39","No","Yes","No","No","1"
"Inclusion body","A617D9CE","infectious","60711","6","No","No","No","No","4"
"Inclusion body","21EC1620","infectious","9606","4","No","No","No","No","4"
"Inclusion body","650D5353","infectious","10090","3","No","No","No","Yes","4"
"Inclusion body","48B2925C","infectious","9606","3","No","No","No","No","4"
"Inclusion body","BAEB8AFB","infectious","60711","1","No","Yes","No","No","1"
"Inclusion body","58CF0D80","infectious","9913","2","No","No","No","No","4"
"Inclusion Body","5FD407E4","infectious","4100","3","No","No","No","No","4"
"Inclusion Body","92167BAE","infectious","10036","1","No","Yes","No","No","4"
"inclusion body-associated granule (IBAG)","64BFB8C8","infectious","60711","2","No","No","No","No","2"
"inclusion body-associated granule (IBAG)","3190BB68","infectious","9606","7","No","Yes","No","No","4"
"Inflammasome","975B8A70","biomolecular","9606","2","No","No","No","No","2"
"Insulator body","5A480847","biomolecular","7227","8","Yes","No","No","No","1"
"Insulin/IGF-1 signalosomes","1041FAE8","biomolecular","9606","1","No","No","No","No","4"
"Junctional condensate","CCFFAF5A","biomolecular","9606","5","No","No","No","No","4"
"KAT8-IRF1 condensate","FF7BB011","biomolecular","9606","2","No","No","No","No","5"
"LANA body","DABB4E53","infectious","9607","2","Yes","No","No","Yes","4"
"Large dense-core vesicles","D1D0EBED","biomolecular","9606","1","No","No","No","No","5"
"L-bodies","51D14917","biomolecular","8355","10","No","Yes","No","No","2"
"LEF1/Beta-catenin condensate","53379B70","biomolecular","9606","2","No","No","No","No","4"
"Leucocyte nuclear body","462A97B5","biomolecular","9606","21","No","No","No","No","0"
"MARDO","089DA44D","biomolecular","10090","5","No","Yes","No","No","5"
"MARDO","51FB48F6","biomolecular","9606","2","No","No","No","No","4"
"McdB condensate","42CE018A","biomolecular","1140","2","No","No","No","No","3"
"MEF2D Condensate","56273AEF","biomolecular","10090","1","No","No","No","No","4"
"MegaTrans enhancer complex","ECBAC048","biomolecular","9606","2","Yes","No","No","No","1"
"METTL14 condensate","7C7AA953","biomolecular","10090","1","No","No","No","No","1"
"MEX3B granule","CA00D4B7","biomolecular","9606","1","No","No","No","No","1"
"Midbody Granule","B3A0EABC","biomolecular","9606","7","No","Yes","No","No","4"
"Mimi granules","E7B423DE","biomolecular","7227","3","No","Yes","No","No","5"
"miRISC condensate","C5843A5F","biomolecular","9606","2","No","Yes","No","No","5"
"Mitochondrial cloud","78E86D56","biomolecular","8355","598","No","Yes","No","No","1"
"MORC3 nuclear body","353F5E6C","biomolecular","9606","1","Yes","No","No","No","5"
"mtRNA granule","5965E019","biomolecular","9606","42","No","Yes","No","No","1"
"MUTator foci","60DC040A","biomolecular","6239","1","No","Yes","No","No","5"
"NAB3 nuclear body","21740CDC","biomolecular","559292","1","No","No","No","No","5"
"NEDD4 condensates","03E7CE7B","biomolecular","9606","3","No","No","No","No","5"
"Negri body","886620B0","infectious","10036","2","No","No","Yes","Yes","4"
"Neuronal granule","51423B36","biomolecular","6239","3","No","No","No","No","1"
"Neuronal RNP granule","764D0258","biomolecular","10090","40","No","Yes","No","No","1"
"Neuronal RNP granule","B0349C78","biomolecular","7227","1","No","Yes","No","No","5"
"Neuronal RNP granule","D8E9712B","biomolecular","9606","16","No","Yes","Yes","No","1"
"Neuronal RNP granule","1E07FF65","biomolecular","10116","9","No","Yes","No","No","1"
"NONO","C582EEC7","biomolecular","10090","3","No","Yes","No","No","5"
"NP bodies","28619EF7","biomolecular","9606","2","No","Yes","No","No","4"
"Nuage","45FBF2D1","biomolecular","9606","1","No","No","No","No","1"
"Nuclear body","F3630F2C","biomolecular","6239","2","No","No","No","No","5"
"Nuclear body","9F779CC8","biomolecular","9606","4","No","Yes","No","No","4"
"Nuclear body","E86DA2C3","biomolecular","10090","2","No","Yes","No","No","1"
"Nuclear body","4663B525","biomolecular","7227","2","No","Yes","No","No","1"
"Nuclear dicing body","E1C65F8A","biomolecular","3702","3","No","Yes","No","No","1"
"Nuclear poly(A) domains","AAD1380C","biomolecular","10090","1","No","Yes","No","No","5"
"Nuclear pore complex","807266B4","biomolecular","6239","3","No","No","No","No","5"
"Nuclear pore complex","99EB68D3","biomolecular","7227","1","No","No","No","No","3"
"Nuclear pore complex","8F16FF3E","biomolecular","7739","1","No","No","No","No","3"
"Nuclear pore complex","0DA90D7A","biomolecular","8355","8","No","No","No","No","1"
"Nuclear pore complex","58AD3AE7","biomolecular","44689","1","No","No","No","No","1"
"Nuclear pore complex","54E74809","biomolecular","8364","4","No","No","No","No","3"
"Nuclear pore complex","691A1FB1","biomolecular","559292","6","No","No","No","No","1"
"Nuclear pore complex","2E2EF814","biomolecular","3702","1","No","No","No","No","3"
"Nuclear pore complex","4133D0F7","biomolecular","5911","1","No","No","No","No","1"
"Nuclear pore complex","D6A53B8E","biomolecular","9606","25","No","No","No","No","1"
"Nuclear speckle","8FEE509A","biomolecular","10116","1","Yes","Yes","No","No","4"
"Nuclear speckle","9A8A194B","biomolecular","3702","18","No","No","Yes","No","1"
"Nuclear speckle","B64524C9","biomolecular","10181","1","No","Yes","No","No","4"
"Nuclear speckle","8E814538","biomolecular","60711","2","No","No","No","No","1"
"Nuclear speckle","804901D1","biomolecular","9606","207","Yes","Yes","Yes","Yes","1"
"Nuclear speckle","3F0300C2","biomolecular","10090","9","No","Yes","No","No","1"
"Nuclear stress body","81D2A7B6","biomolecular","9606","11","No","Yes","Yes","No","1"
"Nuclear stress body","D77CF3DC","biomolecular","559292","1","Yes","No","No","No","5"
"Nucleolus","A1E2A3BE","biomolecular","9031","2","No","No","No","No","1"
"Nucleolus","AC502520","biomolecular","8355","5","No","Yes","No","No","1"
"Nucleolus","D7FE2080","biomolecular","9913","249","Yes","Yes","No","No","2"
"Nucleolus","72FAB94F","biomolecular","9823","5","No","Yes","No","No","4"
"Nucleolus","BDAE0F88","biomolecular","559292","116","Yes","Yes","No","No","1"
"Nucleolus","91857CE7","biomolecular","9606","1413","No","Yes","Yes","Yes","1"
"Nucleolus","97EBEFF3","biomolecular","9986","5","No","No","No","No","1"
"Nucleolus","34A76419","biomolecular","7227","7","No","Yes","No","No","1"
"Nucleolus","4299E36E","biomolecular","3702","1874","Yes","Yes","No","No","2"
"Nucleolus","34881ED2","biomolecular","10116","14","No","Yes","No","No","1"
"Nucleolus","3743B201","biomolecular","6239","1","No","Yes","No","No","5"
"Nucleolus","B4774FF5","biomolecular","9685","2","No","No","No","No","2"
"Nucleolus","9CC59152","biomolecular","10141","1","No","No","No","No","1"
"Nucleolus","5E82D60E","biomolecular","10090","22","No","Yes","No","No","1"
"Nucleolus","9ED295E5","biomolecular","8128","1","Yes","Yes","No","No","1"
"Numb/Pon condensate","6E61CE74","biomolecular","7227","2","No","No","No","No","5"
"Nur77 condensate","927B5294","biomolecular","9606","1","No","No","Yes","No","5"
"nYAC","0C658009","biomolecular","9606","1","No","Yes","No","No","4"
"Omega speckle","58B04F1E","biomolecular","7227","1","No","Yes","No","No","5"
"ORC1 bodies","AA62C26E","infectious","9606","5","Yes","No","No","Yes","1"
"ORF8/p62 condensate","57A56005","infectious","9606","4","No","No","No","No","4"
"OsJAZ2 condensate","205A679C","biomolecular","39946","1","No","No","No","No","5"
"OsSRO1c-OsDREB2B condensate","CDEBD68E","biomolecular","39947","2","Yes","No","No","No","5"
"P62 body","718A9EC3","biomolecular","9606","3","No","No","Yes","Yes","4"
"P62 cluster","3393144B","biomolecular","10090","4","No","No","No","No","4"
"p62-dependent P-bodies (pd-PBs)","A331833B","biomolecular","10090","5","No","No","No","No","4"
"p62-dependent P-bodies (pd-PBs)","373365D7","biomolecular","9606","6","No","Yes","No","No","4"
"P6 inclusion body","8B6B23E7","infectious","3702","6","No","No","No","No","5"
"ParABS DNA","7F56106F","biomolecular","224308","1","Yes","No","No","No","5"
"Paraspeckle","81B83C9C","biomolecular","10090","2","No","Yes","No","No","3"
"Paraspeckle","1A18FFC4","biomolecular","9606","71","No","Yes","Yes","Yes","1"
"PARCL condensate","117BB047","biomolecular","3702","1","No","Yes","No","No","5"
"Par complex","99212B2A","biomolecular","10116","1","No","No","No","No","5"
"Par complex","296927EE","biomolecular","10090","2","No","No","No","No","3"
"PARP1-DNA condensate","D1F4711B","biomolecular","9606","3","Yes","No","No","Yes","4"
"PARP5A–RNF146 condensate","18E63256","biomolecular","10090","2","No","No","No","No","4"
"PB-like Assembly","BBD7F84D","biomolecular","9606","3","No","Yes","No","No","4"
"P-body","AD9D4934","biomolecular","10090","13","No","Yes","No","No","5"
"P-body","60F64496","biomolecular","3702","24","No","Yes","No","No","1"
"P-body","8153499B","biomolecular","510516","2","No","Yes","No","No","5"
"P-body","A777E0F8","biomolecular","559292","71","No","Yes","No","No","1"
"P-body","2A88FC49","biomolecular","7955","1","No","No","No","No","1"
"P-body","A6E1D014","biomolecular","7227","20","No","Yes","No","No","1"
"P-body","0808F6DD","biomolecular","284812","12","No","No","No","No","1"
"P-body","EE0382A7","biomolecular","6239","9","No","Yes","No","No","1"
"P-body","232F8A39","biomolecular","9606","829","No","Yes","Yes","Yes","1"
"PcG body","58FDC23F","biomolecular","7227","18","Yes","No","No","No","1"
"PcG body","A5CB8438","biomolecular","10090","3","Yes","No","No","No","4"
"PcG body","F701F3BC","biomolecular","9606","14","No","No","No","No","1"
"Pericentriolar compartment","F659AEC6","biomolecular","9606","1","No","No","No","No","1"
"Pericentriolar compartment","52A3D75E","biomolecular","3702","1","No","No","No","No","1"
"Pericentriolar material","7AFE7FE2","biomolecular","7227","3","No","Yes","No","No","5"
"Pericentriolar matrix","E72E7219","biomolecular","6239","4","No","No","No","No","1"
"Pericentriolar matrix","1DAEF59B","biomolecular","9606","4","No","No","No","No","1"
"Peri-nucleolar condensate","D02F3EC8","biomolecular","9606","2","No","No","No","No","4"
"Peri-nucleolar condensate","9B47C524","biomolecular","559292","4","No","No","No","No","4"
"PFK-1.1 condensates","7A5BD188","biomolecular","6239","1","No","No","No","No","5"
"PGAM5-MAVS Condensate","1F16C8AA","biomolecular","10090","2","No","No","No","No","4"
"PGL granules","3DE2549A","biomolecular","6239","5","No","Yes","No","No","5"
"P-granule","73A75392","biomolecular","6239","49","No","Yes","No","No","1"
"Plant growth regulator","9BCF5950","biomolecular","0","2","No","No","No","No","5"
"Plant Photobody","988B4B02","biomolecular","3702","5","No","No","No","No","4"
"Plectin condensates","D417733D","biomolecular","10090","2","No","No","No","Yes","5"
"PML body","23113A41","biomolecular","10116","1","No","No","No","No","1"
"PML body","2E092FC3","biomolecular","10090","8","No","No","No","No","1"
"PML body","B5B9A610","biomolecular","9606","551","Yes","No","Yes","Yes","2"
"PML body","92558670","biomolecular","244","1","No","No","No","No","1"
"PodJ condensates","7CA99819","biomolecular","190650","3","No","No","No","No","5"
"Polarisome","D4C202DD","biomolecular","559292","1","No","No","No","No","5"
"PolyP granule","C486FBEA","biomolecular","208964","1","No","No","No","No","5"
"PopZ condensate","907141DD","biomolecular","190650","6","No","No","No","No","1"
"Postsynaptic density","CE726F99","biomolecular","10090","1474","No","No","No","No","2"
"Postsynaptic density","A7E9CBB4","biomolecular","10116","9","No","No","No","No","1"
"Pre-replication compartment (PRC)","3D208FE7","infectious","10090","2","Yes","No","No","No","4"
"Pre-replication compartment (PRC)","6F576562","infectious","9606","1","No","No","No","No","4"
"Presynaptic clusters","D46705B1","biomolecular","7748","1","No","No","No","No","3"
"Presynaptic clusters","05A797AF","biomolecular","10090","4","No","No","No","No","1"
"Presynaptic clusters","3E94B511","biomolecular","6239","2","No","No","No","No","5"
"Presynaptic clusters","F9F240AC","biomolecular","10116","5","No","No","No","No","1"
"Presynaptic clusters","50C2EE40","biomolecular","10090","3","No","No","No","No","1"
"Presynaptic clusters and postsynaptic densities","FB4E32DD","biomolecular","9606","1366","No","No","No","No","2"
"Proteasome condensate","256AC21A","biomolecular","559292","4","No","No","No","No","5"
"Proteasome condensate","550E224B","biomolecular","9606","4","No","No","Yes","No","1"
"Purinosome","6D9DF426","biomolecular","9606","4","No","No","No","No","4"
"Pyrenoid","EA8B71D1","biomolecular","3055","84","No","No","No","No","1"
"Rapsn condensate","3EAB04FE","biomolecular","9606","7","No","No","No","No","3"
"RBFOX1 RNP granule","C9BBDF4E","biomolecular","7227","2","No","Yes","No","No","3"
"RBM15 condensate","44A42CE7","biomolecular","9606","2","No","No","No","No","3"
"rDNA locus","A97FB2F6","biomolecular","559292","2","Yes","No","No","No","5"
"RdRp condensates","2AFE1BD8","infectious","9607","3","No","Yes","No","Yes","4"
"Refractile body","629EEE1F","biomolecular","5802","1","No","No","No","No","5"
"RH20 condensate","D78976C2","biomolecular","3702","2","No","No","No","No","4"
"Rho body","82F84B68","biomolecular","1263054","1","No","Yes","No","No","5"
"RNA polymerase clusters","0CC02154","biomolecular","559292","1","No","No","No","No","5"
"RNP granule","D6EADA8A","biomolecular","6239","3","No","No","No","No","1"
"Row 1-specific tip complex condensates","FF4792F2","biomolecular","9606","4","No","No","No","No","4"
"RPSA-VIM-ENO Condensate","80CC731F","infectious","9606","3","No","No","No","No","4"
"Sam68 nuclear body","62EA6512","biomolecular","9606","15","No","Yes","No","No","1"
"SARS-CoV-2 condensate","38D1B6BE","infectious","9606","4","No","Yes","Yes","No","4"
"SCOTIN condensate","8DB3D246","biomolecular","9606","3","No","No","No","No","4"
"SDC4 exosomal condensate","D19EB1EA","biomolecular","9606","1","No","No","No","No","4"
"Sec-body","6B2C5D53","biomolecular","10116","5","No","No","No","No","4"
"Sec-body","C0C3C39E","biomolecular","7227","3","No","No","No","No","4"
"senescence-associated nuclear proteasome foci","4F6C34C9","biomolecular","9606","5","No","No","No","No","4"
"sex body","FF3FC04D","biomolecular","9606","1","Yes","No","No","No","4"
"sex body","D38CDCAD","biomolecular","10090","1","No","No","No","No","4"
"SGF29 condensate","335D4357","biomolecular","9606","4","Yes","Yes","No","No","4"
"Signaling cluster","56808221","biomolecular","10116","1","No","No","No","No","1"
"Signaling cluster","F345034F","biomolecular","9606","23","No","No","No","No","1"
"Signaling cluster","F1DB9E1E","biomolecular","10090","1","No","No","No","No","1"
"Signalosome","5A1E8F84","biomolecular","7227","1","No","No","No","No","5"
"SIMR foci","8EC6ED41","biomolecular","6239","2","No","No","No","No","5"
"Sint speckle","E8F4C1F2","biomolecular","9606","4","No","No","No","No","1"
"Sirna body","A9BEEE91","biomolecular","3702","5","No","Yes","No","No","1"
"Slit diaphragm condensate","936CAA69","biomolecular","9606","3","No","No","No","No","1"
"SMN1 nuclear body","4700BF7B","biomolecular","10090","1","No","No","No","No","1"
"SMN-Rpp20 complex","B75B0A5E","biomolecular","9606","1","No","No","No","No","2"
"SOSS-INTAC Condensate","3625CB60","biomolecular","9606","5","Yes","Yes","No","No","2"
"Spider Silk Spidroin","B6C35A7B","biomolecular","256737","1","No","No","No","No","3"
"Spindle matrix","0F39F0A3","biomolecular","8355","1","No","No","No","No","1"
"Sponge body","19A54EA0","biomolecular","7227","13","No","Yes","No","No","1"
"SPOP/DAXX body","DAD1D2C8","biomolecular","9606","2","No","No","No","No","5"
"SPRI2 Nuclear Condensate","C9116452","biomolecular","3702","2","No","No","No","No","4"
"SSB condensate","B55775CA","biomolecular","83333","3","Yes","No","No","No","1"
"STD1 body","504CA153","biomolecular","559292","1","No","No","No","No","5"
"STING phase-separator","7F558BCC","biomolecular","9606","2","No","No","No","No","3"
"Stress granule","C441AF4C","biomolecular","185431","8","No","No","No","No","5"
"Stress granule","24475C75","biomolecular","3702","23","No","Yes","No","No","1"
"Stress granule","DEE660B4","biomolecular","9606","1190","No","Yes","Yes","Yes","1"
"Stress granule","EA58C052","biomolecular","510516","3","No","No","No","No","5"
"Stress granule","E61E225E","biomolecular","7227","9","No","Yes","No","No","1"
"Stress granule","F5301D48","biomolecular","284812","11","No","Yes","No","No","1"
"Stress granule","F05969EF","biomolecular","284811","1","No","Yes","No","No","4"
"Stress granule","E03F929F","biomolecular","559292","335","No","Yes","No","No","1"
"Stress granule","B2E8AD81","biomolecular","10116","11","No","No","No","No","1"
"Stress granule","9DA71F79","biomolecular","6239","5","No","No","No","No","1"
"Stress granule","35EAEEF6","biomolecular","237561","1","No","No","No","No","1"
"Stress granule","604353D6","biomolecular","60711","2","No","No","No","No","1"
